nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej Kraków,,Kraków,"Łanowa 43,
									30-725
									Kraków",dla osób dorosłych niepełnosprawnych intelektualnie - 150 miejsc dla dzieci i młodzieży niepełnosprawnych intelektualnie - 15 miejsc (Publiczny),165,505/KR - 2021,91
Dom Pomocy Społecznej im. św. Brata Alberta Ojców,,Kraków,"Ojców Nr 64,
									32-045
									Sułoszowa",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),81,516/KR - 2021,92
Dom Pomocy Społecznej w Prusach,,Powiat krakowski,"Kocmyrzowska 107,
									32-010
									Kocmyrzów",dla osób dorosłych niepełnosprawnych intelektualnie - 41 miejsc dla dzieci i młodzieży niepełnosprawnych intelektualnie - 15 miejsc (Publiczny),56,518/KR - 2021,93
Dom Pomocy Społecznej w Brzesku,,Powiat brzeski,"Starowiejska 6,
									32-800
									Brzesko",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,521/KR - 2021,93
Dom Pomocy Społecznej Węgorzewo,,Powiat węgorzewski,"11 Listopada 12,
									11-600
									Węgorzewo",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),272,529/KR - 2021,94
Dom Pomocy Społecznej Lubawa,,Powiat iławski,"Grunwaldzka 16,
									14-260
									Lubawa Dąbrowskiego 15B,
									14-200
									Iława",dla dorosłych niepełnosprawnych intelektualnie dla osób przewlekle somatycznie chorych (Publiczny),37,532/KR - 2021,94
Dom Pomocy Społecznej Susz,,Powiat iławski,"Iławska 42,
									14-240
									Susz",dla dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),90,533/KR - 2021,94
Dom Pomocy Społecznej Mrągowo,,Powiat mrągowski,"Młodkowskiego 19,
									11-700
									Mrągowo",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),95,535/KR - 2021,94
Dom Pomocy Społecznej Dom Rodzinny Napiwoda,,Powiat nidzicki,"Napiwoda 58A,
									13-100
									Nidzica",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),30,538/KR - 2021,95
Dom Rodzinny Dom Pomocy Społecznej Zielone Wzgórze Olsztyn,,Olsztyn,"Traktorowa 35,
									10-828
									Olsztyn",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),20,543/KR - 2021,95
Dom Pomocy Społecznej Grazymy,,Powiat olsztyński,"Grazymy 1,
									11-036
									Gietrzwałd",dla dorosłych mężczyzn niepełnosprawnych intelektualnie (Publiczny),94,550/KR - 2021,96
Dom Pomocy Społecznej Jeziorany,,Powiat olsztyński,"Kajki 49,
									11-320
									Jeziorany",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnej intelektualnie (Publiczny),145,551/KR - 2021,96
Dom Pomocy Społecznej Gnojno,,Powiat buski,"Gnojno 118,
									28-114
									Gnojno",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),100,613/KR - 2021,96
Dom Pomocy Społecznej Bisztynek,,Powiat bartoszycki,"9 Maja 7,
									11-230
									Bisztynek",dla dorosłych niepełnosprawnych intelektualnie (kobiety) (Publiczny),80,561/KR - 2021,97
Dom Pomocy Społecznej Elbląg,,Elbląg,"Bema 8,
									82-300
									Elbląg",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),47,569/KR - 2021,98
Dom Pomocy Społecznej Elbląg,,Elbląg,"Kasprzaka 10,
									82-300
									Elbląg",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),45,570/KR - 2021,98
Dom Pomocy Społecznej Elbląg,,Elbląg,"Generała Kazimierza Pułaskiego 1C,
									82-300
									Elbląg",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),22,571/KR - 2021,98
Dom Pomocy Społecznej Tęczowy Dom Ełk,,Powiat ełcki,"Kilińskiego 2,
									19-300
									Ełk",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),110,576/KR - 2021,98
Dom Pomocy Społecznej Ruda Pilczycka,,Powiat konecki,"Ruda Pilczycka 57,
									26-234
									Słupia",osób dorosłych niepełnosprawnych intelektualnie (Publiczny),120,606/KR - 2021,101
Dom Pomocy Społecznej w Zborowie Solec Zdrój,,Powiat buski,"Pałacowa 4,
									28-131
									Solec-Zdrój",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),65,614/KR - 2021,101
Dom Pomocy Społecznej Chmielnik,,Powiat kielecki,"Łagiewniki 73,
									28-110
									Chmielnik",dla osób dorosłych niepełnosprawnych intelektualnie oraz (Publiczny),185,616/KR - 2021,102
Dom Pomocy Społecznej Zgórsko,,Powiat kielecki,"Zagórsko, Szewska 28,
									26-052
									Nowiny",dla  osób dorosłych niepełnosprawnych intelektualnie oraz (Publiczny),130,617/KR - 2021,102
Dom Pomocy Społecznej Bejsce,,Powiat kazimierski,"Bejsce 230,
									28-512
									Bejsce",dla osób dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle somatycznie chorych (Publiczny),75,637/KR - 2021,104
Dom Pomocy Społecznej Mnichów,,Powiat jędrzejowski,"Mnichów 135,
									28-300
									Jędrzejów",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),124,639/KR - 2021,104
Dom Pomocy Społecznej Sobów,,Powiat opatowski,"Sobów 117,
									27-530
									Ożarów Suchodółka 23,
									27-530
									Ożarów",dla osób dorosłych niepełnosprawnych intelektualnie oraz dla osób przewlekle chorych (Publiczny),136,640/KR - 2021,104
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Miłosierdzia Św. Wincentego à Paulo,,Powiat wejherowski,"św. Jacka 14,
									84-200
									Wejherowo","32 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 83 dla osób przewlekle somatycznie chorych (Publiczny)",115,668/KR - 2021,107
Dom Pomocy Społecznej Leśny w Zaskoczynie,,Powiat gdański,"Zaskoczyn 11,
									83-041 
									Mierzeszyn","58 dla dorosłych niepełnosprawnych intelektualnie, 42 dla osób przewlekle somatycznie chorych (Publiczny)",100,669/KR - 2021,107
Dom Pomocy Społecznej w Rudnie,,Powiat tczewski,"Lipowa 1,
									83-121
									Rudno","8 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 69 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",77,675/KR - 2021,107
Dom Pomocy Społecznej w Wielkich Wyrębach,,Powiat starogardzki,"Wielki Wyręby 23,
									83-230
									Smętowo Graniczne","24 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 54 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",78,676/KR - 2021,107
Dom Pomocy Społecznej Słoneczne Wzgórze,,Powiat kwidzyński,"Słoneczna 14,
									82-420
									Ryjewo","120 dla osób przewlekle psychicznie chorych, 60 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",180,679/KR - 2021,108
Dom Pomocy Społecznej w Stanisławiu,,Powiat tczewski,"Stanisławie 31,
									83-112
									Lubiszewo",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,680/KR - 2021,108
Dom Pomocy Społecznej Puck,,Powiat pucki,"Aleksandra Majkowskiego 3,
									84-100
									Puck","94 dla osób przewlekle somatycznie chorych, 20 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",114,685/KR - 2021,108
Dom Pomocy Społecznej Starogard Gdański,,Powiat starogardzki,"Aleja Wojska Polskiego 12B,
									83-200
									Starogard Gdański",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),55,691/KR - 2021,109
Dom Pomocy Społecznej w Rokocinie,,Powiat starogardzki,"Parkowa 4, Rokocin,
									83-200
									Starogard Gdański",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),86,692/KR - 2021,109
Dom Pomocy Społecznej w Machowinku,,Powiat słupski,"Machowinko 3,
									76-211 
									Objazda","23 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 63 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",86,696/KR - 2021,110
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Braci Szkół Chrześcijańskich,,Powiat słupski,"Przytocko 39,
									77-230
									Kępice","9 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 93 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",102,697/KR - 2021,110
Dom Pomocy Społecznej dla Dzieci i Młodzieży Niepełnosprawnych Intelektualnie prowadzony przez Zgromadzenie Sióstr Benedyktynek Samarytanek Krzyża Chrystusowego,,Powiat tczewski,"Bielawki 47,
									83-130
									Pelplin",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),114,698/KR - 2021,110
Dom Pomocy Społecznej Parchowo,,Powiat bytowski,"Kasztanowa 2,
									77-124
									Parchowo",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),70,702/KR - 2021,110
Dom Pomocy Społecznej Stężyca,,Powiat kartuski,"Damroki 1A,
									83-322
									Stężyca",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),34,703/KR - 2021,110
Dom Pomocy Społecznej w Machowinie,,Powiat słupski,"Machowino 53,
									76-270
									Ustka",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),120,704/KR - 2021,111
Dom Pomocy Społecznej prowadzony przez Siostry Pallotynki,,Gdańsk,"Turystyczna 23,
									80-680
									Gdańsk","5 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 53 dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",58,705/KR - 2021,111
Dom Pomocy Społecznej Orunia,,Gdańsk,"Starogardzka 20,
									80-015
									Gdańsk","30 dla dzieci i młodzieży niepełnosprawnych intelektualnie, 83  dla dorosłych niepełnosprawnych intelektualnie (Publiczny)",113,706/KR - 2021,111
Dom Pomocy Społecznej Białystok,,Białystok,"Baranowicka 203,
									15-530
									Białystok","dla dzieci i młodzieży niepełnosprawnych intelektualnie – 102 miejsca, dla osób dorosłych niepełnosprawnych intelektualnie – 168 miejsc, dla osób przewlekle psychicznie chorych – 36 miejsc w Filii w Bobrowej (Publiczny)",306,815/KR - 2021,118
Dom Pomocy Społecznej Kozarze,,Powiat wysokomazowiecki,"Kozarze 63,
									18-230
									Ciechanowiec",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),120,817/KR - 2021,119
Dom Pomocy Społecznej Grajewo,,Powiat grajewski,"Doktora Tadeusza Nowickiego 1,
									19-200
									Grajewo",dla dzieci i młodzieży niepełnosprawnych intelektualnie – chłopcy (Publiczny),39,820/KR - 2021,119
Dom Pomocy Społecznej dla Dzieci i Młodzieży Zgromadzenia Sióstr Franciszkanek Rodziny Maryi,,Powiat augustowski,"3-go Maja 57 ,
									16-300 
									Augustów",dla dzieci i młodzieży niepełnosprawnych intelektualnie - dziewczęta (Publiczny),80,822/KR - 2021,119
Dom Pomocy Społecznej dla Dzieci i Młodzieży Zgromadzenia Sióstr Franciszkanek Rodziny Maryi,,Powiat augustowski,"Studzieniczna 2 ,
									16-301 
									Augustów",dla dzieci i młodzieży niepełnosprawnych intelektualnie - dziewczęta (Publiczny),50,824/KR - 2021,119
Dom Pomocy Społecznej Łomża,,Łomża,"Polowa 39,
									18-400
									Łomża",dla dzieci i młodzieży niepełnosprawnych intelektualnie - dziewczęta (Publiczny),109,830/KR - 2021,120
Dom pomocy społecznej Przemyśl,,Przemyśl,"Świętego Brata Alberta 1,
									37-700
									Przemyśl",-dla osób dorosłych niepełnosprawnych intelektualnie (mężczyzn) (Publiczny),70,852/KR - 2021,122
Dom pomocy społecznej Lubzina,,Powiat ropczycko-sędziszowski,"Lubzina 47,
									39-102
									Lubzina",- dla dzieci i młodzieży niepełnosprawnych intelektualnie 15 miejsc - dla osób dorosłych niepełnosprawnych intelektualnie 77 miejsc (Publiczny),92,859/KR - 2021,123
Dom pomocy społecznej Łąka,,Powiat rzeszowski,"Łąka 260,
									36-004
									Łąka",- dla dzieci i młodzieży niepełnosprawnych intelektualnie 24 miejsca - dla osób dorosłych niepełnosprawnych intelektualnie 61 miejsc (Publiczny),85,863/KR - 2021,123
Dom pomocy społecznej Rzeszów,,Rzeszów,"Powstańców Styczniowych 37,
									35-607
									Rzeszów",-dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),85,864/KR - 2021,124
Dom pomocy społecznej Lubaczów,,Powiat lubaczowski,"Tadeusza Kościuszki 139,
									37-600
									Lubaczów",- dla dzieci i młodzieży niepełnosprawnych intelektualnie 60 miejsc - dla osób dorosłych niepełnosprawnych intelektualnie 5 miejsc (Publiczny),65,865/KR - 2021,124
Dom pomocy społecznej Moszczany,,Powiat jarosławski,"Moszczany,
									37-543
									Laszki",- dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),132,866/KR - 2021,124
Dom pomocy społecznej Wielkie Oczy,,Powiat lubaczowski,"Zielona 5,
									37-627
									Wielkie Oczy",- dla dzieci i młodzieży niepełnosprawnych intelektualnie 66 miejsc - dla osób dorosłych niepełnosprawnych intelektualnie 4 miejsca (Publiczny),70,873/KR - 2021,125
Dom pomocy społecznej Iwonicz Zdrój,,Powiat krośnieński,"Floriańska 19,
									38-440
									Iwonicz Zdrój",- dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),108,874/KR - 2021,125
Dom pomocy społecznej Iwonicz,,Powiat krośnieński,"Długa 1,
									38-440
									Iwonicz",- dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),80,875/KR - 2021,125
Dom pomocy społecznej Tarnobrzeg,,Tarnobrzeg,"Henryka Sienkiewicza 211,
									39-400
									Tarnobrzeg",- dla dzieci i młodzieży niepełnosprawnych intelektualnie – dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),72,878/KR - 2021,125
Dom pomocy społecznej Frysztak,,Powiat strzyżowski,"Glinik Dolny 230,
									38-130
									Frysztak",- dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),70,880/KR - 2021,125
Dom pomocy społecznej Przemyśl,,Przemyśl,"św. Brata Alberta 3,
									37-700
									Przemyśl Generała Józefa Wysockiego 99,
									37-700
									Przemyśl",- dla osób w podeszłym wieku 54 miejsca - dla osób przewlekle somatycznie chorych 8 miejsc - dla osób dorosłych niepełnosprawnych intelektualnie 38 miejsc - dla osób przewlekle psychicznie chorych 141 miejsc (Publiczny),241,884/KR - 2021,126
Dom Pomocy Społecznej w Prószkowie,,Opolski,"Zamkowa 8,
									46-060
									Prószków",dla osób dorosłych niepełnosprawnych intelektualnie – 164 i dla osób przewlekle somatycznie chorych - 59 K i M (Publiczny),223,929/KR - 2021,129
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Maryi Niepokalanej,,Powiat nyski,"Aleja Wojska Polskiego 77,
									48-300
									Nysa",dla dzieci i młodzieży niepełnosprawnych intelektualnie – 45 i osób dorosłych niepełnosprawnych intelektualnie - 35 M (Publiczny),80,936/KR - 2021,130
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Misjonarek Maryi,,Powiat głubczycki,"Raciborska 81,
									48-130
									Kietrz",dla dzieci i młodzieży niepełnosprawnych intelektualnie – 25 i dla osób dorosłych niepełnosprawnych intelektualnie – 25 K (Publiczny),50,938/KR - 2021,130
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Św. Jadwigi,,Powiat strzelecki,"Plac Klasztorny 2,
									45-920
									Opole",dla dzieci i młodzieży niepełnosprawnych intelektualnie – 40 i dla osób doroslych niepełnosprawnych intelektualnie - 80 K (Publiczny),120,939/KR - 2021,130
Dom Pomocy Społecznej Kędzierzyn-Koźle,,Powiat kędzierzyńsko-kozielski,"Zielna 1,
									47-230
									Kędzierzyn-Koźle",dla osób dorosłych niepełnosprawnych intelektualnie K i M (Publiczny),70,943/KR - 2021,131
Dom Pomocy Społecznej Dla Dzieci i Młodzieży oraz Osób Dorosłych Niepełnosprawnych Intelektualnie prowadzony przez Zgromadzenie Braci Szkół Chrześcijańskich,,Powiat strzelecki,"Czarna 2,
									47-120
									Zawadzkie",dla dzieci i młodzieży niepełnosprawnych intelektualnie – 63 i dla osób dorosłych niepełnosprawnych intelektualnie - 47 M (Publiczny),110,944/KR - 2021,131
"Dom Pomocy Społecznej dla Dzieci, Młodzieży i Dorosłych Zgromadzenia Sióstr Św. Elżbiety",,Powiat kędzierzyńsko-kozielski,"Ignacego Łukasiewicza 9,
									47-200
									Kędzierzyn-Koźle","dla dzieci, młodzieży niepełnosprawnych intelektualnie - 37 i dla osób dorosłych niepełnosprawnych intelektualnie - 16M (Publiczny)",53,947/KR - 2021,131
Dom Pomocy Społecznej w Radawiu,,Powiat oleski,"Żwirowa 1, Radawie,
									46-048
									Zębowice",dla osób dorosłych niepełnosprawnych intelektualnie M (Publiczny),70,949/KR - 2021,131
Dom Pomocy Społecznej Gierałcice,,Powiat kluczborski,"Opolska 28, Gierałcice,
									46-250
									Wołczyn",dla osób dorosłych niepełnosprawnych intelektualnie M (Publiczny),70,950/KR - 2021,132
Dom Pomocy Społecznej Jędrzejów,,Powiat brzeski,"Jędrzejów 16,
									49-200
									Grodków",dla dorosłych niepełnosprawnych intelektualnie M (Publiczny),95,952/KR - 2021,132
Dom Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Misjonarek Maryi,,Powiat strzelecki,"Zamkowa 5,
									47-175
									Kadłub","dla dzieci, młodzieży niepełnosprawnych intelektualnie - 60 i dla osób dorosłych niepełnosprawnych intelektualnie - 50 M (Publiczny)",110,954/KR - 2021,132
Dom Pomocy Społecznej w Rokitnie,,Powiat międzyrzecki,"Rokitno 58,
									66-341
									Przytoczna",dla osób dorosłych (mężczyzn) niepełnospraw nych intelektualnie (Publiczny),100,965/KR - 2021,133
Dom Pomocy Społecznej w Toporowie,,Powiat świebodziński,"Lipowa 17,
									66-233 
									Toporów",Dla dzieci i młodzieży niepełnospraw nych intelektualnie - 26 miejsc oraz dla osób dorosłych niepełnosprawnych intelektualnie - 51 miejsc (Publiczny),77,975/KR - 2021,134
Dom Pomocy Społecznej w Międzyrzeczu,,Powiat międzyrzecki,"T. Podbielskiego 2,
									66-300
									Międzyrzecz",Dla osób dorosłych niepełnospraw nych intelektualnie (Publiczny),40,979/KR - 2021,134
Dom Pomocy Społecznej we Wschowie,,Powiat wschowski,"Plac św. Jana 1,
									67-400
									Wschowa",Dla dzieci i młodzieży niepełnospraw nych intelektualnie (Publiczny),60,980/KR - 2021,134
Dom Pomocy Społecznej w Rokitnie,,Powiat międzyrzecki,"Rokitno 38,
									66-341
									Przytoczna",Dla dzieci i młodzieży niepełnosprawnych intelektualnie - 20 miejsc oraz dla osób dorosłych niepełnosprawnych intelektualnie - 79 miejsc (Publiczny),99,982/KR - 2021,135
Dom Pomocy Społecznej w Szarczu,,Powiat międzyrzecki,"Szarcz 30,
									66-330
									Pszczew",Dla dzieci i młodzieży niepełnospraw nych intelektualnie (płci żeńskiej) (Publiczny),52,983/KR - 2021,135
Dom Pomocy Społecznej w Skwierzynie,,Powiat międzyrzecki,"Przemysłowa 42,
									66-440
									Skwierzyna",Dla osób dorosłych i młodzieży niepełnospraw nych intelektualnie (Publiczny),45,985/KR - 2021,135
Dom Pomocy Społecznej im. hr. Eligiusza Suchodolskiego w Gościeradowie,,Powiat kraśnicki,"Folwark 20 ,
									23-275
									Gościeradów","Dla osób dorosłych niepełnosprawnej intelektualnie (50 miejsc), dzieci i młodzieży niepełnosprawnej intelektualnie (15 miejsc) (Publiczny)",65,1009/KR - 2021,137
Dom Pomocy Społecznej w Teodorówce,,Powiat biłgorajski,"Teodorówka 1 ,
									23-400 
									Biłgoraj Filia ""Dom Rodzinny"": ul. Zielona 95,
									23-400 
									Biłgoraj Filia: Osada 5, Długi Kąt,
									23-460
									Józefów","dla osób dorosłych niepełnosprawnych intelektualnie, dla dzieci i młodzieży niepełnosprawnych intelektualnie, dla osób przewlekle psychicznie chorych dla osób dorosłych niepełnosprawnych intelektualnie dla osób przewlekle psychicznie chorych (Publiczny)",195,1011/KR - 2021,137
Dom Pomocy Społecznej w Kiełczewicach,,Powiat lubelski,"Kiełczewice Maryjskie 86,
									23-107
									Strzyżewice","Dla dziewcząt i kobiet: dla dzieci i młodzieży niepełnosprawnych intelektualnie (10 miejsc), dla osób dorosłych niepełnosprawnych intelektualnie (55 miejsc) (Publiczny)",65,1019/KR - 2021,138
Dom Pomocy Społecznej im. św. Jana Pawła II w Krasnymstawie,,Powiat krasnostawski,"Kwiatowa 1,
									22-300
									Krasnystaw Filia: Dom w Ostrowie Krupskim, Filia: Dom w Stężycy Nadwieprzańskiej, Filia: Dom w Bzowcu,","dla dzieci i młodzieży niepełnosprawnych intelektualnie, dla osób dorosłych niepełnosprawnych intelektualnie dla osób przewlekle somatycznie chorych dla osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych (Publiczny)",295,1024/KR - 2021,139
Dom Pomocy Społecznej w Matczynie,,Powiat lubelski,"Matczyn 4,
									24-200
									Bełżyce",dom koedukacyjny: dla dzieci i młodzieży niepełnosprawnych intelektualnie (25 miejsc) oraz dla osób dorosłych niepełnosprawnych intelektualnie (165 miejsc) (Publiczny),190,1025/KR - 2021,139
Dom Pomocy Społecznej Pod Modrzewiami w Szczebrzeszynie,,Powiat zamojski,"Błonie 117,
									22-460
									Szczebrzeszyn",dla osób dorosłych niepełnosprawnych intelektualnie (dla kobiet) (Publiczny),70,1028/KR - 2021,139
BARKA Dom Pomocy Społecznej im. Jana Pawła II w Janowie Lubelskim,,Powiat janowski,"Wiejska 12,
									23-300
									Janów Lubelski","dla osób w podeszłym wieku, dla osób przewlekle somatycznie chorych, dla osób dorosłych niepełnosprawnych intelektualnie, dla osób przewlekle psychicznie chorych (Publiczny)",180,1031/KR - 2021,139
Dom Pomocy Społecznej w Ryżkach,,Powiat łukowski,"Ryżki 75,
									21-400
									Łuków",dla osób dorosłych niepełnosprawnych intelektualnie (85 miejsc) oraz dla osób przewlekle psychicznie chorych (25 miejsc) (Publiczny),110,1032/KR - 2021,140
Dom Pomocy Społecznej w Łukowie,,Powiat łukowski,"Władysława Broniewskiego 34,
									21-400
									Łuków",dla dzieci i młodzieży niepełnosprawnych intelektualnie (dla chłopców) (Publiczny),31,1033/KR - 2021,140
Dom Pomocy Społecznej w Kozuli,,"Powiat biała podlaska, bialski","Kozula 1,
									21-500
									Biała Podlaska","dla osób w podeszłym wieku (70 miejsc) oraz dla osób przewlekle somatycznie chorych (80 miejsc), dorosłych niepełnosprawnych intelektualnie (20 miejsc), dla dzieci i młodzieży niepełnosprawnych intelektualnie (20 miejsc) oraz dla osób przewlekle psychicznie chorych (30 miejsc) (Publiczny)",220,1034/KR - 2021,140
Dom Pomocy Społecznej w Ostrowie Lubelskim,,Powiat lubartowski,"Unicka 7,
									21-110
									Ostrów Lubelski",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),100,1036/KR - 2021,140
Domu Pomocy Społecznej w Tomaszowie Lubelskim,,Powiat tomaszowski,"Mickiewicza 1,
									22-600
									Tomaszów Lubelski",dla dzieci i młodzieży niepełnosprawnych intelektualnie oraz dorosłych niepełnosprawnych intelektualnie (Publiczny),30,1037/KR - 2021,140
Dom Pomocy Społecznej w Nowinach,,Powiat chełmski,"Nowiny 101,
									22-105
									Okszów","dla osób w podeszłym wieku (64 miejsca), dla osób dorosłych niepełnosprawnych intelektualnie (115 miejsc), osób przewlekle somatycznie chorych (32 miejsca) (Publiczny)",211,1040/KR - 2021,140
Dom Pomocy Społecznej w Kaniem,,Powiat chełmski,"Kanie 129b,
									22-171
									Kanie",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),48,1042/KR - 2021,141
Dom Pomocy Społecznej w Zamościu,,Zamość,"Żdanowska 3,
									22-400
									Zamość",dla dzieci i młodzieży niepełnosprawnych intelektualnie (2 miejsca) oraz osób dorosłych niepełnosprawnych intelektualnie (50 miejsc) (Publiczny),52,1045/KR - 2021,141
Dom Pomocy Społecznej w Wygnanowicach,,Powiat świdnicki,"Wygnanowice 40A,
									21-065
									Rybczewice Drugie",dla osób dorosłych niepełnosprawnych intelektualnie (dla kobiet) (Publiczny),55,1047/KR - 2021,141
Dom Pomocy Społecznej im. Roba Inja w Świdniku,,Powiat świdnicki,"Piasecka 240,
									21-040
									Świdnik",dla osób dorosłych niepełnosprawnych intelektualnie (dla mężczyzn) (Publiczny),140,1048/KR - 2021,141
Dom Pomocy Społecznej im. Matki Teresy z Kalkuty w Lublinie,,Lublin,"Bartosza Głowackiego 26,
									20-060
									Lublin Filia Nr 1: ul. Miernicza 10,
									20-805
									Lublin",dla osób przewlekle somatycznie chorych dla osób niepełnosprawnych intelektualnie (Publiczny),117,1049/KR - 2021,141
Dom Pomocy Społecznej w Sieradzu,,Powiat sieradzki,"Armii Krajowej 34,
									98-200
									Sieradz Filia: ul. Wspólna 74, Witów,
									98-260
									Burzenin Filia: Rożdżały 7,
									98-290
									Warta",dla osób w podeszłym wieku i osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych dla dorosłych niepełnosprawnych intelektualnie z oddziałem dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),378,1127/KR - 2021,146
Dom Pomocy Społecznej Zgromadzenia Sióstr Urszulanek SJK w Sieradzu,,Powiat sieradzki,"Dominikańska 16,
									98-200
									Sieradz",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),35,1129/KR - 2021,147
Dom Pomocy Społecznej w Przatówku,,Powiat zduńskowolski,"Przatówek 1,
									98-240
									Szadek",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),100,1136/KR - 2021,147
Dom Pomocy Społecznej w Rąbieniu,,Powiat zgierski,"Rąbień AB 59,
									95-070
									Aleksandrów Łódzki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),130,1137/KR - 2021,147
Dom pomocy społecznej dla dzieci i młodzieży niepełnosprawnej intelektualnie Łódź Sierakowskiego,,Łódź,"Zygmunta Sierakowskiego 65,
									91-324
									Łódź",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),49,1159/KR - 2021,149
Dom Pomocy Społecznej w Lisowicach,,Powiat łódzki wschodni,"Lisowice 13,
									95-040
									Koluszki",dla dorosłych niepełnosprawnych intelektualnie kobiet (Publiczny),59,1163/KR - 2021,149
Dom Pomocy Społecznej w Łodzi,,Łódź,"Helenówek 7,
									91-366
									Łódź",dla niepełnosprawnych intelektualnie mężczyzn (Publiczny),19,1168/KR - 2021,150
Dom Pomocy Społecznej w Chorzeszowie,,Łaski,"Chorzeszów 37,
									98-105
									Wodzierady",dla niepełnosprawnych intelektualnie mężczyzn (Publiczny),14,1169/KR - 2021,150
Dom Pomocy Społecznej w Kutnie,,Powiat kutnowski,"Oporowska 27,
									99-300
									Kutno",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),130,1174/KR - 2021,150
Ośrodek Mieszkalno-Rehabilitacyjny im. Św. Apa. Józefa Bilczewskiego Stowarzyszenia Razem Bestwina,,Powiat bielski,"Generała Sikorskiego 48A,
									43-512
									Bestwina",dorośli niepełnosprawni intelektualnie (Publiczny),22,2405/KR - 2021,161
DPS dla Dorosłych prowadzony przez Zgromadzenie Sióstr Albertynek Częstochowa,,Częstochowa,"Wesoła 42,
									42-200
									Częstochowa",dorośli niepełnosprawni intelektualnie (Publiczny),85,2411/KR - 2021,161
