nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Zakątek Seniora Plebanka,REKOMENDACJA KIDO,Powiat aleksandrowski,"Plebanka 1,
									87-731
									Waganiec","dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",19,2555/KR - 2021,1
Sanos Zabełków,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat raciborski,"Słoneczna 4A,
									47-460
									Zabełków","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",102,1210/KR - 2021,1
Prywatny Dom Słoneczko,REKOMENDACJA KIDO,Gdańsk,"Bysewska 5a,
									80-287
									Gdańsk","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",35,757/KR - 2021,1
Dom Seniora Serce Florencji,REKOMENDACJA KIDO,Powiat łódzki,"ul. Wiośniana 34/36 ,
									93-228
									Łódź","placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",47,28327/KR - 2026,1
Dom Seniora Bursztyn,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat nowodworski,"Gdańska 4,
									82-103
									Jantar","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",11,2871/KR - 2021,1
Dom Seniora Aqua Rezydencja Polkowice,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat polkopwicki,"ul. Młyńska 6,
									59-100
									Polkowice","Dla osób starszych, osób przewlekle chorych lub niepełnosprawnych (Prywatny)",96,28068/KR - 2026,1
Dom Opieki im. Św. Jadwigi,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat wołowski,"Aleje Jerozolimskie 24,
									56-120
									Brzeg Dolny",Działalność gospodarcza (Prywatny),101,1105/KR - 2021,1
Dobry Dom Centrum Opiekuńczo-Rehabilitacyjne Borzęcin Duży,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat warszawski zachodni,"Kosmowska 38,
									05-083
									Borzęcin Duży","Dla osób w podeszłym wieku, niepełnosprawnych (Prywatny)",49,201/KR - 2021,1
Centrum Origin Otwock,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat otwocki,"ul. Bernardyńska 13,
									05-400
									Otwock",Całodobowa Opieka Długoterminowa (Zakład Opiekuńczo - Leczniczy),29,26309/KR - 2022,1
Prywatny Dom Opieki dla Seniora „Ostoja Seniora”,REKOMENDACJA KIDO,Powiat łódzki,"ul. Romanowska 55N,
									91-174
									Łódź","placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",80,28056/KR - 2025,2
"Bonifraterskie Centrum Medyczne Warszawa, Dom Geriatryczno-Rehabilitacyjny Bonifratrów pw. NMP Królowej Pokoju",REKOMENDACJA KIDO,Warszawa,"Sapieżyńska 3,
									00-215
									Warszawa","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",80,162/KR - 2021,2
Zakład Opiekuńczo- Leczniczy Caritas Diecezji Legniciej,REKOMENDACJA KIDO,Powiat legnicki,"ul. Poselska 14-16,
									59-220
									Legnica",Opieka Długoterminowa Dla Przewlekle Chorych (Zakład Opiekuńczo - Leczniczy),40,2729/KR - 2021,2
Dom Pomocy Społecznej Polanki,REKOMENDACJA KIDO,Gdańsk,"Polanki 121,
									80-308
									Gdańsk","38 dla osób w podeszłym wieku, 66 dla osób przewlekle somatycznie chorych (Publiczny)",104,670/KR - 2021,2
Pensjonacik Pod Dębami – Dom Seniora Kania,"REKOMENDACJA KIDO, WIRTUALNY SPACER, ZAREJESTROWANO W KIDO",Powiat stargardzki,"Kania 60,
									73-120
									Chociwel","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",30,47/KR - 2021,2
Dom Seniora Magnolia w Jaworze,"REKOMENDACJA KIDO, WIRTUALNY SPACER, ZAREJESTROWANO W KIDO",Powiat jaworski,"Kuziennicza 14B,
									59-400
									Jawor","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",60,28298/KR - 2026,2
Dom Opieki Serduszko Brzeziny,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat brzeziński,"Sienkiewicza 87,
									95-060
									Brzeziny","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",23,35/KR - 2021,2
Centrum Rehabilitacyjno – Opiekuńcze Dom Pomocy Społecznej Łódź Przybyszewskiego,REKOMENDACJA KIDO,Łódź,"Stanisława Przybyszewskiego 255/267,
									92-338
									Łódź",dla osób przewlekle somatycznie chorych (Publiczny),596,1161/KR - 2021,2
Rodzinny Dom Seniora Słoneczna Jesień,REKOMENDACJA KIDO,Powiat oświęcimski,"Słowiańska 13,
									32-620
									Brzeszcze","dla osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",12,2497/KR - 2021,2
Ośrodek Alzheimerowski w Ścinawie,REKOMENDACJA KIDO,Powiat lubiński,"Jana Pawła II nr.12,
									59-330
									Ścinawa",Ośrodek Badawczo-Naukowo-Dydaktyczny Chorób Otępiennych (w tym choroba Alzheimera) (Prywatna/Publiczna),77(Publiczne)<br />27(Prywatne),2681/KR - 2021,3
Dom Seniora Pogodna Jesień,REKOMENDACJA KIDO,Powiat międzyrzecki,"Rokitno 60,
									66-340
									Przytoczna",dla osób w podeszłym wieku (Prywatny),75,01/KR - 2021,3
Dom Aktywnego Seniora Biały Bez,REKOMENDACJA KIDO,Powiat pruszkowski,"Główna 153, Rusiec,
									05-830
									Nadarzyn",dla osób w podeszłym wieku (Prywatny),44,116/KR - 2021,3
"Dom Pomocy Społecznej w Bystrej, Fundacja","REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat bielski,"Klimczoka 80,
									43-360
									Bystra",osoby w podeszłym wieku - 50 miejsc oraz osoby przewlekle somatycznie chore - 50 miejsc (Publiczny),100,2402/KR - 2021,3
Dom Opieki Dla Osób Starszych DĘBY,REKOMENDACJA KIDO,Powiat radziejowski,"Dęby 13,
									88-210
									Dobre","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",86,2557/KR - 2021,3
Dom Seniora Magnolia,REKOMENDACJA KIDO,Powiat lęborski,"Poznańska 5,
									84-300
									Lębork","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",100,755/KR - 2021,3
Rezydencja dla Seniorów Złote Borki,REKOMENDACJA KIDO,Powiat oleski,"Oleska 1C, Borki Małe,
									46-300
									Olesno","dla  osób w podeszłym wieku, przewlekle chorych i niepełnosprawnych (Prywatny)",94,916/KR - 2021,3
Dom Seniora Słoneczne Wzgórze Łaznowska Wola,REKOMENDACJA KIDO,Powiat tomaszowski,"Słoneczna 14  ,
									98-220
									Łaznowska Wola","Placówka zapewniająca całodobową opiekę osobom niepełnosprawnym, przewlekle chorym lub osobom w podeszłym wieku (Prywatny)",74,04/KR - 2021,3
Dom Seniora JASO,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat kołobrzeski,"Wiejska 3A,
									78-132
									Grzybowo","dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",30,63/KR - 2021,3
Powiatowy Dom Pomocy Społecznej w Ostrowinie z Filią w Jemielnej,REKOMENDACJA KIDO,Powiat oleśnicki,"Ostrowina 21,
									56-400
									Ostrowina",dla osób dorosłych niepełnosprawnych intelektualnie (Publiczny),305,03/KR - 2021,4
Dom Pomocy Społecznej Pakówka,REKOMENDACJA KIDO,Powiat rawicki,"Pakówka 42,
									63-940
									Bojanowo",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),170,425/KR - 2021,4
Dom Pod Aniołem,REKOMENDACJA KIDO,Powiat gnieźnieński,"Jelitowo 1,
									62-242
									Jelitowo",Placówka całodobowa (Prywatny),26,344/KR - 2021,4
Dom Seniora Załęcze Małe Pątnów,REKOMENDACJA KIDO,Powiat wieluński,"Załęcze Małe 111A,
									98-335
									Pątnów",Placówka Całodobowej Opieki (Prywatny),42,25/KR - 2021,4
Dom Seniora Przystań Rafał Lewandowski,REKOMENDACJA KIDO,Powiat piaseczyński,"Ogrodowa 5,
									05-500
									Mysiadło",dla osób w podeszłym wieku (Prywatny),21,130/KR - 2021,4
Dom Pomocy Społecznej Zacisze Kowale Oleckie,REKOMENDACJA KIDO,Powiat olecki,"Witosa 8,
									19-420
									Kowale Oleckie",dla osób w podeszłym wieku oraz osób przewlekle somatycznie chorych (Publiczny),42,531/KR - 2021,4
VILLA SENIORA,REKOMENDACJA KIDO,Rzeszów,"Potockiego 95,
									35-322
									Rzeszów","Całodobowa opieka nad osobami niepełnosprawnymi, przewlekle chorymi oraz w podeszłym wieku (Prywatny)",50,898/KR - 2021,4
Dom Seniora A w sercu maj,REKOMENDACJA KIDO,Powiat puławski,"Wola Czołnowska 64,
									24-105
									Baranów","placówka prowadzona w ramach działalności gospodarczej dla kobiet i mężczyzn w podeszłym wieku, niepełnosprawnych i przewlekle chorych (Prywatny)",39,987/KR - 2021,4
AKACJOWY DOM SENIORA,REKOMENDACJA KIDO,Powiat bielski,"Knorydy 11,
									17-100
									Bielsk Podlaski",dla osób niepełnosprawnych lub osób w podeszłym wieku (Prywatny),28,802/KR - 2021,4
Dom Seniora Akacja Łódź,REKOMENDACJA KIDO,Łódź,"Demokratyczna 85,
									93-430
									Łódź",Placówka zapewniająca całodobową opiekę osobom w podeszłym wieku (Prywatny),50,36/KR - 2021,5
Zielona Kraina,REKOMENDACJA KIDO,Warszawa,"Olesin 114 C,
									03-289
									Warszawa","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",24,101/KR - 2021,5
Dom Seniora Ambrozja,REKOMENDACJA KIDO,Gdańsk,"Koziorożca 49,
									80-299
									Gdańsk","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",10,723/KR - 2021,5
Dom Opieki Happy House Łódź,REKOMENDACJA KIDO,Łódź,"Lublinek 32,
									93-469
									Łódź","Placówka Całodobowej Opieki dla osób starszych, osób niepełnosprawnych (Prywatny)",26,10/KR - 2021,5
Placówka Całodobowej Opieki Zacisze Piotrowice,REKOMENDACJA KIDO,Powiat łowicki,"Piotrowice 9,
									99-423
									Bielawy",Placówka Całodobowej Opieki (Prywatny),35,26/KR - 2021,5
Centrum Opieki Familia Łódź,REKOMENDACJA KIDO,Łódź,"Drużynowa 4,
									94-226
									Łódź","Placówka Całodobowej Opieki osobom niepełnosprawnym, przewlekle chorym lub w podeszłym wieku (Prywatny)",35,34/KR - 2021,5
Dom Opieki Spełnione Marzenie Łódź,REKOMENDACJA KIDO,Łódź,"Wólczańska 225,
									93-005
									Łódź",Placówka Całodobowej Opieki (Prywatny),16,37/KR - 2021,5
Dom Opieki Spełnione Marzenie Łódź,REKOMENDACJA KIDO,Łódź,"Lublinek 37,
									93-469
									Łódź",Placówka Całodobowej Opieki (Prywatny),12,38/KR - 2021,5
Dom Seniora Joanna,REKOMENDACJA KIDO,Powiat goleniowski,"Przemocze 63A,
									72-130
									Maszewo","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",55,44/KR - 2021,5
"Dom Opieki Dla Osób Starszych Na Polanie s.j. Jurewicz, Kowaluk",REKOMENDACJA KIDO,Powiat goleniowski,"Mokre 41A,
									72-130
									Maszewo","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",26,45/KR - 2021,6
Dom Seniora Willa Klon,REKOMENDACJA KIDO,Powiat pyrzycki,"Kornela Makuszyńskiego 13,
									74-240
									Lipiany","dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",18,46/KR - 2021,6
Dom Opieki Ostoja,REKOMENDACJA KIDO,Powiat piaseczyński,"Ignacego Krasickiego 264,
									05-500
									Nowa Wola",dla osób w podeszłym wieku niepełnosprawnych (Prywatny),28,114/KR - 2021,6
Dom Aktywnego Seniora Biała Dalia,REKOMENDACJA KIDO,Powiat piaseczyński,"Jana Sobieskiego 24,
									05-510
									Konstancin-Jeziorna",dla osób w podeszłym wieku (Prywatny),33,115/KR - 2021,6
Willa Harmonia,REKOMENDACJA KIDO,Powiat pruszkowski,"Ożarowska 2,
									05-800
									Pruszków",dla osób w podeszłym wieku (Prywatny),100,117/KR - 2021,6
Dom nad Jeziorem,REKOMENDACJA KIDO,Powiat gostyniński,"Budy Lucieńskie 2,
									05-900 
									Gostynin",dla osób w podeszłym wieku (Prywatny),49,141/KR - 2021,6
Dom Opieki Marion,REKOMENDACJA KIDO,Powiat legionowski,"Nowodworska 13, Krubin,
									05-124
									Skrzeszew","dla osób w podeszłym wieku, niepełnosprawnych (Prywatny)",37,142/KR - 2021,6
Dom Opieki Leśna Góra,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat wyszkowski,"Warszawska 18,
									07-202
									Kamieńczyk","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",39,143/KR - 2021,6
Dom Opieki Marianówka,REKOMENDACJA KIDO,Powiat siedlecki,"Polaki 30A,
									08-130
									Kotuń","dla osób w podeszłym wieku niepełnosprawnych, przewlekle chorych (Prywatny)",30,145/KR - 2021,6
Dom Seniora Zacisze Troszyn,REKOMENDACJA KIDO,Powiat ostrołęcki,"Polna 16,
									07-405
									Troszyn",dla osób w podeszłym wieku (Prywatny),18,172/KR - 2021,7
Dardom Dariusz Sitek,REKOMENDACJA KIDO,Powiat wołomiński,"Ząbkowska 55,
									05-270
									Marki",dla osób w podeszłym wieku niepełnosprawnych (Prywatny),35,176/KR - 2021,7
Rodzinny Dom Opieki dla Ludzi Starszych,REKOMENDACJA KIDO,Powiat nowodworski,"Stanisławowo 84,
									05-180
									Pomiechówek","dla osób przewlekle chorych, niepełnosprawnych, w podeszłym wieku. (Prywatny)",18,203/KR - 2021,7
Samarytanka,REKOMENDACJA KIDO,Powiat wołomiński,"Księcia Józefa Poniatowskiego 4,
									05-230
									Kobyłka",dla osób w podeszłym wieku (Prywatny),37,204/KR - 2021,7
Dom Seniora „Bronek” filia w Szelejewie Drugim,REKOMENDACJA KIDO,Powiat gostyński,"Szelejewo Drugie 10A,
									63-820
									Piaski",Placówka całodobowa (Prywatny),57,338/KR - 2021,7
Całodobowy Dom Opieki Kinga Grek-Kowalczyk „Seniorowo” Szołdry,REKOMENDACJA KIDO,Powiat śremski,"Szołdry 21,
									63-112
									Brodnica",Placówka całodobowa (Prywatny),46,339/KR - 2021,7
Rezydencja Senior,REKOMENDACJA KIDO,Powiat wejherowski,"ul. Dębowa 17 Łężyce-Głodówko,
									84-207 
									Koleczkowo","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",50,708/KR - 2021,7
Dom Seniora Life,REKOMENDACJA KIDO,Gdynia,"Wiczlińska 40A,
									81-578
									Gdynia","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",52,710/KR - 2021,7
Rezydencja Seniora Dąbrówka Wielka,REKOMENDACJA KIDO,Powiat wejherowski,"Spacerowa 34,
									84-218
									Łęczyce","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",50,711/KR - 2021,7
Dom Seniora Nad Stawem,REKOMENDACJA KIDO,Powiat starogardzki,"Nad Stawem 1 Janowo,
									83-211
									Starogard Gdański","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",50,715/KR - 2021,8
Dom Opieki Cichy Dworek,REKOMENDACJA KIDO,Powiat wejherowski,"Jagodowa 17,
									84-242
									Kębłowo (gmina Luzino)","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",14,719/KR - 2021,8
Dom Seniora Viktoria,REKOMENDACJA KIDO,Powiat wejherowski,"Leśna 1B,
									84-239
									Bolszewo","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",12,724/KR - 2021,8
Dom Pogodnej Starości Słoneczne Wzgórze,REKOMENDACJA KIDO,Powiat wejherowski,"Torowa 6,
									84-239
									Bolszewo","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",21,739/KR - 2021,8
PPRO Przystań,REKOMENDACJA KIDO,Powiat kartuski,"Boczna 4,
									80-209
									Chwaszczyno","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",29,756/KR - 2021,8
Dom Opieki Dolina Słupi,REKOMENDACJA KIDO,Powiat słupski,"Młyńska 20,
									76-251
									Kobylnica","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",41,758/KR - 2021,8
Dom Seniora Viktoria,REKOMENDACJA KIDO,Powiat wejherowski,"Partyzantów 64,
									84-230
									Rumia","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",30,759/KR - 2021,8
Dom Seniora Rotmanka,REKOMENDACJA KIDO,Powiat gdański,"Gerberowa 16B Rotmanka,
									83-010
									Straszyn",dla osób w podeszłym wieku (Prywatny),64,770/KR - 2021,8
Dom Seniora Rotmanka,REKOMENDACJA KIDO,Powiat gdański,"Gerberowa 16 Rotmanka,
									83-010
									Straszyn",dla osób w podeszłym wieku (Prywatny),47,786/KR - 2021,8
Dom Opieki Senioralnej Dwa Serca,REKOMENDACJA KIDO,Powiat łomżyński,"Uśnik 27,
									18-441 
									Śniadowo","Dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",15,790/KR - 2021,9
Dom Opieki Społecznej ARKA,REKOMENDACJA KIDO,Powiat bielski,"Kożyno 66,
									17-100
									Bielsk Podlaski","Dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",43,792/KR - 2021,9
Dom Opieki OSTOJA,REKOMENDACJA KIDO,Powiat bielski,"Łubin Kościelny 38,
									17-100
									Bielsk Podlaski","Dla osób niepełnosprawnych, przewlekle chorych lub osób w podeszłym wieku (Prywatny)",29,793/KR - 2021,9
JESIEŃ PODLASIA,REKOMENDACJA KIDO,Powiat bielski,"Nurzec 1,
									17-111
									Boćki",Dla osób niepełnosprawnych oraz w podeszłym wieku. (Prywatny),48,794/KR - 2021,9
Prawosławny Ośrodek Miłosierdzia ELEOS Dom Opieki,REKOMENDACJA KIDO,Powiat hajnowski,"Trześcianka 126,
									17-210
									Narew","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",33,796/KR - 2021,9
Prawosławny Dom Opieki ELEOS Diecezji Warszawsko-Bielskiej,REKOMENDACJA KIDO,Powiat siemiatycki,"Grabarka 16,
									17-330 
									Nurzec 1","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",24,797/KR - 2021,9
Dom Miłosierdzia Samarytanin,REKOMENDACJA KIDO,Powiat hajnowski,"3 Maja 63,
									17-200
									Hajnówka","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",45,806/KR - 2021,9
Dom Seniora ATOS,REKOMENDACJA KIDO,Powiat bielski,"Holonki 87,
									17-120
									Brańsk","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",20,810/KR - 2021,9
Dom Opieki Złote Borki Jarnołtówek,REKOMENDACJA KIDO,Powiat nyski,"Jarnołtówek 52,
									48-267
									Jarnołtówek","dla  osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",62,902/KR - 2021,9
Rezydencje Dwór Zawiszy Dylaki,REKOMENDACJA KIDO,Opolski,"Jeziorna 16,
									46-043
									Dylaki","Dla  osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",25,903/KR - 2021,10
Dom Spokojnej Starości Konfederak Marzena,REKOMENDACJA KIDO,Powiat oleski,"Kościeliska 36,
									46-324
									Radłów","dla  osób niepełnosprawnych, przewlekle chorych i osób w podeszłym wieku (Prywatny)",24,917/KR - 2021,10
Pensjonat Pokoje seniora,REKOMENDACJA KIDO,Opolski,"Aleja Wolności 1,
									49-100
									Niemodlin","dla osób niepełnosprawnych, przewlekle chorych i w podeszłym wieku (Prywatny)",43,918/KR - 2021,10
Dom Seniora Olive Garden,REKOMENDACJA KIDO,Powiat krośnieński,"Generała Pułaskiego 5,
									66-620 
									Gubin",dla osób w podeszłym wieku (Prywatny),12,958/KR - 2021,10
Pensjonat Srebrna Magnolia,REKOMENDACJA KIDO,Powiat gorzowski,"Brzozowa 35, Deszczno,
									66-446
									Osiedle Poznańskie",dla osób w podeszłym wieku (Prywatny),71,961/KR - 2021,10
Dom Sławomira Socha,REKOMENDACJA KIDO,Powiat biłgorajski,"Ciosmy 102a,
									23-400
									Biłgoraj","placówka prowadzona w ramach działalności gospodarczej dla kobiet i mężczyzn w podeszłym wieku, niepełnosprawnych i przewlekle chorych (Prywatny)",43,998/KR - 2021,10
Dom Seniora Pod Kasztanami,REKOMENDACJA KIDO,Powiat dzierżoniowski,"Jana Kilińskiego 10,
									58-200
									Dzierżoniów",Działalność gospodarcza (Prywatny),57,1057/KR - 2021,10
Dom Aktywnego Seniora,"REKOMENDACJA KIDO, WIRTUALNY SPACER",Powiat oleśnicki,"Brzezinka 27A,
									56-400
									Brzezinka",Działalność gospodarcza (Prywatny),9,1058/KR - 2021,10
Pałac Roztocznik,REKOMENDACJA KIDO,Powiat dzierżoniowski,"Roztocznik 64,
									58-217
									Roztocznik",Działalność gospodarcza (Prywatny),71,1059/KR - 2021,10
Dom Seniora Przystań,REKOMENDACJA KIDO,Powiat lubiński,"Królowej Jadwigi 5,
									59-330
									Ścinawa",Działalność statutowa (Prywatny),42,1061/KR - 2021,11
Dom dla osób starszych Starzyk,REKOMENDACJA KIDO,Powiat wałbrzyski,"Tytusa Chałubińskiego 12,
									58-330
									Jedlina-Zdrój",Działalność gospodarcza (Prywatny),32,1062/KR - 2021,11
Dom Opieki Sióstr św. Jadwigi,REKOMENDACJA KIDO,Powiat kłodzki,"Szalejów Górny 10,
									57-300
									Kłodzko",Działalność statutowa (Prywatny),36,1065/KR - 2021,11
Centrum Rehabilitacji Geriatrycznej Pałacyk Villa Mick Sp. z o.o.,REKOMENDACJA KIDO,Powiat bolesławiecki,"Parowa 151,
									59-723
									Parowa",Działalność gospodarcza (Prywatny),21,1066/KR - 2021,11
Domek z Sercem Brygida Nowak,REKOMENDACJA KIDO,Powiat wrocławski,"Zbigniewa Herberta 2,
									55-010
									Radwanice",Działalność gospodarcza (Prywatny),27,1068/KR - 2021,11
Dom Seniora w Krzeszowie,REKOMENDACJA KIDO,Powiat kamiennogórski,"Michała Willmanna 7,
									58-405
									Krzeszów",Działalność gospodarcza (Prywatny),69,1069/KR - 2021,11
Dom Seniora Marcinowice,REKOMENDACJA KIDO,Powiat świdnicki,"Świdnicka 14,
									58-124
									Marcinowice","Dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",55,1070/KR - 2021,11
Centrum Opieki TriVita,REKOMENDACJA KIDO,Powiat bielski,"Krakowska 73,
									43-353
									Porąbka","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",133,1197/KR - 2021,11
Rezydencja Rydz Całodobowy Dom Opieki Kudowa Zdrój,REKOMENDACJA KIDO,Powiat kłodzki,"Generała Władysława Sikorskiego 12,
									57-350
									Kudowa-Zdrój","Dla osób niepełnosprawnych, przewlekle chorych lub w podeszłym wieku (Prywatny)",35,1089/KR - 2021,11
Dom Seniora Piastów Gród,REKOMENDACJA KIDO,Powiat kłodzki,"Zdrojowa 32,
									57-340
									Duszniki-Zdrój",Działalność gospodarcza (Prywatny),41,1090/KR - 2021,12
Arkadia Domy Emeryta i Rencisty Sp. z o.o.,REKOMENDACJA KIDO,Powiat ząbkowicki,"Opolnica 1,
									57-256
									Bardo Śląskie",Działalność gospodarcza (Prywatny),44,1093/KR - 2021,12
Arkadia Domy Emeryta i Rencisty Sp. z o. o.,REKOMENDACJA KIDO,Powiat kłodzki,"Ogrodowa 7,
									57-320
									Polanica-Zdrój",Działalność gospodarcza (Prywatny),40,1094/KR - 2021,12
Dom dla Osób Starszych Starzyk,REKOMENDACJA KIDO,Powiat wałbrzyski,"Chojnowska 9,
									58-330
									Jedlina-Zdrój",Działalność gospodarcza (Prywatny),34,1095/KR - 2021,12
Dom Seniora Pod Jodłami,REKOMENDACJA KIDO,Rybnik,"Jodłowa 66F,
									44-213
									Rybnik","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",31,1175/KR - 2021,12
Dom Seniora Herbaciane Popołudnie,REKOMENDACJA KIDO,Powiat mikołowski,"Katowicka 17,
									43-190
									Mikołów","osoby niepełnosprawne, przewlekle chore lub odoby w podeszłym wieku (Prywatny)",20,1182/KR - 2021,12
Dom Seniora Zacisze,REKOMENDACJA KIDO,Powiat tarnogórski,"Wiejska 123,
									42-690
									Nowa Wieś Tworowska",osoby w podeszłym wieku i niepełnosprawne (Prywatny),61,1198/KR - 2021,12
Prywatny Dom Całodobowej Opieki dla Osób Starszych Pensjonat pod Lipami Sp. z o.o,REKOMENDACJA KIDO,Powiat lubliniecki,"Rolnicza 5,
									42-289
									Woźniki","osoby niepełnosprawne, przewlekle chore lub osoby w podeszłym wieku (Prywatny)",36,1208/KR - 2021,12
Dom Seniora Pod Topolami,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat radziejowski,"Topolowa 24 ,
									88-230 
									Piotrków Kujawski","Dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",30,2549/KR - 2021,12
Dom Seniora Bronek,REKOMENDACJA KIDO,Powiat włocławski,"Świętej Anny 26,
									87-890
									Lubraniec","dla osób niepełnosprawnych, przewlekle chorych lub  osób w podeszłym wieku (Prywatny)",31,2552/KR - 2021,13
Centrum Opiekuńczo-Rehabilitacyjne NaturaMed Piastowo,"REKOMENDACJA KIDO, ZAREJESTROWANO W KIDO",Powiat żniński,"Piastowo 13A,
									88-410
									Gąsawa","Dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",80,28313/KR - 2026,13
Rodzinny Dom Seniora w Ciechocinku,REKOMENDACJA KIDO,Powiat aleksandrowski,"Zdrojowa 53,
									87-720
									Ciechocinek","dla osób niepełnosprawnych, osób przewlekle chorych lub osób w podeszłym wieku (Prywatny)",15,2554/KR - 2021,13
Dom Pomocy Społecznej w Wielkiej Nieszawce,REKOMENDACJA KIDO,Powiat toruński,"Toruńska 18,
									87-165
									Cierpice",dla osób w podeszłym wieku (Publiczny),90,2576/KR - 2021,13
Powiatowy Dom Pomocy Społecznej w Czarnowie,REKOMENDACJA KIDO,Powiat gostyniński,"Czarnów 5,
									09-541
									Pacyna",dla osób przewlekle psychicznie chorych (Publiczny),250,252/KR - 2021,13
Dom Pomocy Społecznej Polskiego Czerwonego Krzyża w Ostrołęce,REKOMENDACJA KIDO,Ostrołęka,"Aleja Wojska Polskiego 32,
									07-401
									Ostrołęka",dla osób przewlekle somatycznie chorych (Publiczny),16,292/KR - 2021,13
Dom Pomocy Społecznej Promyk,REKOMENDACJA KIDO,Powiat namysłowski,"Kamienna 22,
									46-100
									Namysłów",dla osób w podeszłym wieku K i M (Publiczny),49,930/KR - 2021,13
